page_id,title,year,predicted_pagerank,predicted_growth,uncertainty
2080,A Fire Upon the Deep,2027,0.00020218946696940065,-0.021989122,0.09806043034164924
3211,Atom probe,2027,0.00017287101265250072,-0.011175584,0.09806043034164924
5320,Carbon nanotube,2027,0.007459043049927821,0.012629865,0.09806043034164924
6111,Chemical vapor deposition,2027,0.0040755400374153875,0.040744744,0.09806043034164924
8484,Deus Ex (video game),2027,0.0005994299981407387,-0.008529885,0.09806043034164924
9476,Electron,2027,0.0012856666774897607,-0.05141939,0.09806043034164924
9804,Electric charge,2027,0.001610516513480326,0.016109804,0.09806043034164924
10303,Evaporation,2027,0.0003791642375168428,-0.0052432814,0.09806043034164924
11751,Foresight Institute,2027,0.001513699461892334,-0.029080411,0.09806043034164924
13609,Hydrogen bond,2027,0.0007072650216532196,0.023181146,0.09806043034164924
14136,Hydrophobe,2027,0.0026061529823036894,0.07077294,0.09806043034164924
14467,Harry Kroto,2027,0.001668065071074289,-0.03048843,0.09806043034164924
14951,Ionic bonding,2027,0.000668982344627485,0.12709467,0.09806043034164924
15417,Intermolecular force,2027,0.002158732217053573,-0.07686422,0.09806043034164924
16769,K. Eric Drexler,2027,0.0037604726441491185,0.0048428024,0.09806043034164924
18906,Microfluidics,2027,0.004016563910431613,0.029028418,0.09806043034164924
19637,Molecular nanotechnology,2027,0.001316285887866234,-0.010994692,0.09806043034164924
19638,MEMS,2027,0.004937799093438324,0.047377843,0.09806043034164924
21488,Nanotechnology,2027,0.030654674096927938,0.012819914,0.09806043034164924
21514,Nanomedicine,2027,0.007284954914120169,0.03244033,0.09806043034164924
21561,Nanoengineering,2027,0.0012195881444825659,-0.06516003,0.09806043034164924
23680,There's Plenty of Room at the Bottom,2027,0.006099693047083019,0.015450515,0.09806043034164924
23748,Photolithography,2027,0.004651078402498527,0.01150733,0.09806043034164924
23781,Photoresist,2027,0.0012088038799989984,-0.017250359,0.09806043034164924
24669,Pauli exclusion principle,2027,0.0029936174908773705,-0.03419037,0.09806043034164924
25268,Quantum electrodynamics,2027,0.00235320221056451,-0.015958374,0.09806043034164924
25523,Richard Feynman,2027,0.009898593830596785,-0.013330086,0.09806043034164924
25795,Robert Freitas,2027,0.0011398217476330675,0.023337265,0.09806043034164924
25814,Richard Smalley,2027,0.004309819630991929,-0.005930127,0.09806043034164924
25849,Ralph Merkle,2027,0.001214347077159787,-0.004576728,0.09806043034164924
25984,Ray Kurzweil,2027,0.0007161122422126062,0.042669326,0.09806043034164924
26884,Superconductivity,2027,0.001965173311714272,0.008261769,0.09806043034164924
27774,Scanning tunneling microscope,2027,0.004520962398745188,0.015184692,0.09806043034164924
28627,Sputtering,2027,0.0003558602346227979,0.033593677,0.09806043034164924
34154,PARC (company),2027,0.0005636959470092231,-0.065505154,0.09806043034164924
34168,Xenogears,2027,0.00017420174586198553,-0.003563754,0.09806043034164924
36603,Rotaxane,2027,0.0003261635237957927,0.01099703,0.09806043034164924
36605,Molecular electronics,2027,0.0014218353015429187,0.0031966139,0.09806043034164924
42937,Photodiode,2027,0.0007514171784521552,-0.019178562,0.09806043034164924
44449,Blood Music (novel),2027,0.0006395779549725473,0.018279994,0.09806043034164924
44596,Positronium,2027,0.0012929440523178118,-0.046551585,0.09806043034164924
44726,Magnetoresistance,2027,0.0010188838251460168,-0.021359215,0.09806043034164924
50363,Indigo dye,2027,0.00017330897033670603,-0.008670464,0.09806043034164924
50425,Quantum Hall effect,2027,0.001574130140164417,0.0024181425,0.09806043034164924
52206,Nanowire,2027,0.0007323456127213781,0.009143275,0.09806043034164924
52224,The Diamond Age,2027,0.0007895136646358324,-0.0017936786,0.09806043034164924
56133,Battle Angel Alita,2027,0.00044866403893545424,-0.04964581,0.09806043034164924
56300,Nanotech (anthology),2027,0.00017290502473656758,-0.010981042,0.09806043034164924
58623,The Culture,2027,0.00017420174586198553,-0.003563754,0.09806043034164924
61220,Spintronics,2027,0.002375214533148942,0.018226111,0.09806043034164924
70651,Van der Waals radius,2027,0.0010235164834988088,0.018909447,0.09806043034164924
70657,Van der Waals force,2027,0.006733456781919952,-0.0113849435,0.09806043034164924
96558,Maxwell's demon,2027,0.0007301066473085978,0.0023841548,0.09806043034164924
113302,Surface tension,2027,0.0004624528496779968,-0.02019078,0.09806043034164924
146630,Monolayer,2027,0.0005000995087005192,0.022695154,0.09806043034164924
149881,Medical uses of silver,2027,0.000172610493009806,-0.012665772,0.09806043034164924
156428,Microtechnology,2027,0.0005148084770300039,0.045185648,0.09806043034164924
162400,Force spectroscopy,2027,0.0009618283984331795,-0.06235123,0.09806043034164924
169448,Membrane topology,2027,0.00039306093443531437,0.006082885,0.09806043034164924
175996,Gray goo,2027,0.0012685063315953334,-0.008006753,0.09806043034164924
177515,Molecular engineering,2027,0.00033635891350409196,0.004110698,0.09806043034164924
183275,Exploratory engineering,2027,0.00017274134158199583,-0.011917279,0.09806043034164924
191646,OLED,2027,0.008792457124886285,-0.055840764,0.09806043034164924
197129,Nanocrystalline silicon,2027,0.0006502412579837,0.016132899,0.09806043034164924
